Code,EN,JP,CH,,
1_1,"I keep running.
",私は走り続けています,我不停的奔跑,,
1_2,What drives me is countless anger,私を突き動かしているのは数え切れないほどの怒りです,给我动力的是无数的愤怒,,
1_3,I think of the people and things that fill me with resentment.,私を憤らせる人や出来事を思い出します,我想起那些让我愤恨的人和事,,
1_4,"In my fantasies, I have the power to hold all of them beneath my applause",私の幻想の中では、彼ら全員を掌握するほどの力が私にあります,在我的幻想中，我有力量将他们所有人凌驾于鼓掌之中,,
1_5,I even have the power to decide the survival or destruction of the world,世界の存亡を決める力さえも、私の手にあります,甚至拥有力量决定世界的生存与毁灭,,
1_6,"When I came back to my senses, I had crossed the finish line first and become the champion",気がついた時には、私は最初にゴールラインを越えてチャンピオンになっていました。,回过神来的时候我竟第一个跑过终点线成了冠军,,
1_7,The people I don't really like lifted me up.,あまり好きではない人たちが私を持ち上げました,那些我不怎么喜欢的人将我捧了起来,,
,,,,,
2_1,I can't believe we're graduating from elementary school so soon!,信じられない！もう小学校を卒業しちゃうんだね！,小强：真不敢相信我们这么快就小学毕业了!,,
2_2,It's just changing places to study.,ただ勉強する場所が変わるだけだよ。,小华：只是换个地方读书而已啦。,,
2_3,But you'll have to say bye bye to us.,でも俺たちとバイバイしなきゃいけないんだね。,小刚：可是你要和我们说bye bye啦。,,
2_4,We'll meet again in the future.,またいつか会えるよ。,小华：以后会再见的。,,
2_5,"Xiaohua, are you planning to go pro in basketball?",小华、バスケットボールでプロになるつもり？,小亮：小华要打算专业打篮球吗。,,
2_6,"Don't be ridiculous, I'm not that good.",冗談だよ、そんなに上手じゃない。,小华：开什么玩笑，我不大行的。,,
2_7,"I think you're pretty amazing, haha.",君は十分すごいと思うよ、はは。,小明：我觉得你够厉害的了哈哈。,,
2_8,.....,.....,.....,,
2_9,We're going this way. See you later!,俺たちはこっちに行くよ。また今度ね！,小强：我们往这走了。改日再见啦！,,
2_10,"Xiaohua, Xiaogang: Yeah! See you later!",小华、小刚：うん！また今度ね！,"小华,小刚：嗯！改日再见啦！",,
2_11,.....,.....,.....,,
2_12,I'm so anxious about middle school. I plan to just study hard and not make any friends.,中学が不安だな。友達なんて作らずに、真面目に勉強しよう。,小刚：好不安啊，初中。我打算什么朋友也不交，老实读书好了。,,
2_13,"Don't be ridiculous, how can you not make any friends? You'll have new brothers soon.",冗談だよ、友達を作らないなんてありえない。すぐに新しい仲間ができるよ。,小华：开什么玩笑，怎么可能什么朋友也不交。很快就会有新的弟兄的。,,
2_14,......,......,小刚：......,,
2_15,"Alright, I'm going this way! See you later!",よし、俺はこっちに行くよ！またね！,小华：好了，我要往这边走了!再会!,,
2_16,Xiaohua...,小华...,小刚：小华...,,
2_17,Xiaohua: ?,小华: ?,小华: ?,,
2_18,It's nothing. See you later!,何でもない。またね！,小刚：没事。再见啦！,,
2_19,Yeah! We'll definitely meet again! Bye bye!,うん！きっとまた会えるよ！バイバイ！,小华：嗯！以后一定再会！byebye！,,
,,,,,
3_1,外で何があったんだろう。さっきからずっと喧嘩みたいな音が聞こえてくる…,What's going on outside? It's been sounding like a fight since a little while ago...,外面这是怎么了，从刚才开始就传来打架一样的声音...,,
3_2,あ！,Ah!,啊！,,
3_3,どうしたんだ？誰か来てくれ！,"What's going on? Somebody, come here!",怎么回事？来人啊！,,
3_4,なぜだろう、力を感じる…,Why… I feel some kind of power...,为什么，感觉有股力量...,,
3_5,これはどういうことだ？　俺は一ヶ月前に怪我をする前の状態に戻っている？　いや、それよりも…,What's going on? Am I back to the state I was in before I got injured a month ago? No, more than that...,这是怎么回事，我变回了一个月前受伤之前的状态？不对，比那时候...,
3_6,?：「魔石を渡せ」,? ：Hand over the magic stone.,怪物：交出魔石,,
3_7,アダム：？,Adam: ?,亚当：？,,
,,,,,
4_1,A: ...It's finally coming.,A：……ついに来るんだね。,A：……终于要来了。,,
4_2,B: Yeah... We can't avoid it anymore.,B：うん……もう逃げられないね。,B：嗯……我们躲不过去了。,,
4_3,A: Speaking of which, being able to see this scenery is an incredibly great fortune for us.,A：そういえば、こんな景色が見られるなんて、本当に大きな幸運だね。,A：说起来，我们能看到这种风景也算是无比大的幸运呢。,
4_4,B: More than the scenery, having you by my side until the end is the greatest fortune.,B：景色よりも、最後まで君がいてくれることが一番の幸運だよ。,B：比起风景，能有你陪我到最后才是无比大的幸运。,
